,Gold,Silver
"Jan 01, 2014","1,205.40",19.535
"Jan 02, 2014","1,225.00",20.098
"Jan 03, 2014","1,238.40",20.182000000000002
"Jan 06, 2014","1,237.80",20.077
"Jan 07, 2014","1,229.40",19.765
"Jan 08, 2014","1,225.30",19.518
"Jan 09, 2014","1,229.30",19.663
"Jan 10, 2014","1,246.70",20.201
"Jan 13, 2014","1,250.90",20.361
"Jan 14, 2014","1,245.20",20.250999999999998
"Jan 15, 2014","1,238.10",20.102999999999998
"Jan 16, 2014","1,240.00",20.025
"Jan 17, 2014","1,251.70",20.267
"Jan 20, 2014","1,255.10",20.32
"Jan 21, 2014","1,242.30",19.838
"Jan 22, 2014","1,239.00",19.809
"Jan 23, 2014","1,262.60",19.986
"Jan 24, 2014","1,264.50",19.743
"Jan 27, 2014","1,263.60",19.771
"Jan 28, 2014","1,251.00",19.483
"Jan 29, 2014","1,262.20",19.533
"Jan 30, 2014","1,242.20",19.111
"Jan 31, 2014","1,240.10",19.105
"Feb 03, 2014","1,260.40",19.389
"Feb 04, 2014","1,251.70",19.402
"Feb 05, 2014","1,257.30",19.785
"Feb 06, 2014","1,257.60",19.908
"Feb 07, 2014","1,263.30",19.92
"Feb 10, 2014","1,274.80",20.099
"Feb 11, 2014","1,290.10",20.143
"Feb 12, 2014","1,295.30",20.331
"Feb 13, 2014","1,300.40",20.385
"Feb 14, 2014","1,319.00",21.410999999999998
"Feb 17, 2014","1,328.50",21.83
"Feb 18, 2014","1,324.70",21.891
"Feb 19, 2014","1,320.60",21.844
"Feb 20, 2014","1,317.10",21.678
"Feb 21, 2014","1,323.90",21.776999999999997
"Feb 24, 2014","1,338.30",22.046999999999997
"Feb 25, 2014","1,343.00",21.96
"Feb 26, 2014","1,328.20",21.254
"Feb 27, 2014","1,331.60",21.314
"Feb 28, 2014","1,321.40",21.204
"Mar 03, 2014","1,350.10",21.448
"Mar 04, 2014","1,337.80",21.188000000000002
"Mar 05, 2014","1,340.20",21.239
"Mar 06, 2014","1,351.70",21.541999999999998
"Mar 07, 2014","1,338.10",20.897
"Mar 10, 2014","1,341.40",20.879
"Mar 11, 2014","1,346.50",20.784000000000002
"Mar 12, 2014","1,370.30",21.328000000000003
"Mar 13, 2014","1,372.20",21.169
"Mar 14, 2014","1,379.00",21.384
"Mar 17, 2014","1,372.90",21.249000000000002
"Mar 18, 2014","1,359.00",20.836
"Mar 19, 2014","1,341.40",20.8
"Mar 20, 2014","1,330.50",20.404
"Mar 21, 2014","1,336.00",20.285999999999998
"Mar 24, 2014","1,311.20",20.043
"Mar 25, 2014","1,311.40",19.955
"Mar 26, 2014","1,303.40",19.759
"Mar 27, 2014","1,294.70",19.69
"Mar 28, 2014","1,293.80",19.772000000000002
"Mar 31, 2014","1,283.40",19.734
"Apr 01, 2014","1,279.60",19.669
"Apr 02, 2014","1,290.50",20.031
"Apr 03, 2014","1,284.40",19.785999999999998
"Apr 04, 2014","1,303.20",19.927
"Apr 07, 2014","1,298.00",19.891
"Apr 08, 2014","1,308.70",20.042
"Apr 09, 2014","1,305.50",19.755
"Apr 10, 2014","1,320.10",20.078
"Apr 11, 2014","1,318.70",19.933
"Apr 14, 2014","1,327.20",19.999000000000002
"Apr 15, 2014","1,300.00",19.477999999999998
"Apr 16, 2014","1,303.10",19.623
"Apr 17, 2014","1,293.40",19.586
"Apr 21, 2014","1,288.00",19.340999999999998
"Apr 22, 2014","1,280.60",19.351
"Apr 23, 2014","1,284.20",19.43
"Apr 24, 2014","1,290.50",19.682000000000002
"Apr 25, 2014","1,300.70",19.685
"Apr 28, 2014","1,298.90",19.585
"Apr 29, 2014","1,296.00",19.488
"Apr 30, 2014","1,295.60",19.119
"May 01, 2014","1,283.10",18.989
"May 02, 2014","1,302.60",19.492
"May 05, 2014","1,309.00",19.52
"May 06, 2014","1,308.30",19.598
"May 07, 2014","1,288.60",19.298
"May 08, 2014","1,287.40",19.094
"May 09, 2014","1,287.30",19.077
"May 12, 2014","1,295.60",19.5
"May 13, 2014","1,294.60",19.504
"May 14, 2014","1,305.70",19.735
"May 15, 2014","1,293.50",19.447
"May 16, 2014","1,293.30",19.292
"May 19, 2014","1,293.70",19.322
"May 20, 2014","1,294.50",19.367
"May 21, 2014","1,288.00",19.307000000000002
"May 22, 2014","1,294.90",19.49
"May 23, 2014","1,291.60",19.387999999999998
"May 25, 2014","1,291.70",19.43
"May 26, 2014","1,292.50",19.428
"May 27, 2014","1,265.40",19.039
"May 28, 2014","1,259.30",19.035
"May 29, 2014","1,256.30",18.983
"May 30, 2014","1,245.60",18.653
"Jun 02, 2014","1,243.70",18.709
"Jun 03, 2014","1,244.30",18.732
"Jun 04, 2014","1,244.00",18.766
"Jun 05, 2014","1,253.00",19.055
"Jun 06, 2014","1,252.10",18.963
"Jun 09, 2014","1,253.50",19.045
"Jun 10, 2014","1,259.80",19.147000000000002
"Jun 11, 2014","1,260.80",19.154
"Jun 12, 2014","1,273.60",19.515
"Jun 13, 2014","1,273.70",19.637
"Jun 16, 2014","1,274.90",19.702
"Jun 17, 2014","1,271.70",19.721
"Jun 18, 2014","1,272.40",19.767
"Jun 19, 2014","1,313.70",20.636999999999997
"Jun 20, 2014","1,316.20",20.941999999999997
"Jun 23, 2014","1,318.00",20.909000000000002
"Jun 24, 2014","1,320.90",21.038
"Jun 25, 2014","1,322.20",21.111
"Jun 26, 2014","1,316.10",21.103
"Jun 27, 2014","1,319.00",21.076999999999998
"Jun 30, 2014","1,321.80",21.006999999999998
"Jul 01, 2014","1,326.40",21.066999999999997
"Jul 02, 2014","1,330.70",21.254
"Jul 03, 2014","1,320.40",21.089000000000002
"Jul 04, 2014","1,321.30",21.195
"Jul 07, 2014","1,316.50",20.965999999999998
"Jul 08, 2014","1,316.00",20.967
"Jul 09, 2014","1,323.80",21.022
"Jul 10, 2014","1,338.70",21.459
"Jul 11, 2014","1,337.00",21.410999999999998
"Jul 14, 2014","1,306.30",20.864
"Jul 15, 2014","1,296.90",20.842
"Jul 16, 2014","1,299.60",20.726999999999997
"Jul 17, 2014","1,316.70",21.086
"Jul 18, 2014","1,309.20",20.838
"Jul 21, 2014","1,313.70",20.965999999999998
"Jul 22, 2014","1,306.10",20.965
"Jul 23, 2014","1,304.50",20.951999999999998
"Jul 24, 2014","1,290.60",20.375999999999998
"Jul 25, 2014","1,303.10",20.588
"Jul 28, 2014","1,303.30",20.526
"Jul 29, 2014","1,298.30",20.546
"Jul 30, 2014","1,294.90",20.558000000000003
"Jul 31, 2014","1,281.30",20.373
"Aug 01, 2014","1,293.60",20.332
"Aug 04, 2014","1,287.70",20.194000000000003
"Aug 05, 2014","1,284.00",19.794
"Aug 06, 2014","1,306.70",19.985
"Aug 07, 2014","1,310.80",19.951
"Aug 08, 2014","1,308.90",19.902
"Aug 11, 2014","1,308.50",20.06
"Aug 12, 2014","1,308.80",19.87
"Aug 13, 2014","1,312.80",19.81
"Aug 14, 2014","1,313.90",19.871
"Aug 15, 2014","1,304.50",19.49
"Aug 18, 2014","1,297.70",19.6
"Aug 19, 2014","1,295.10",19.387
"Aug 20, 2014","1,293.40",19.472
"Aug 21, 2014","1,273.70",19.39
"Aug 22, 2014","1,278.60",19.361
"Aug 25, 2014","1,277.30",19.338
"Aug 26, 2014","1,283.80",19.37
"Aug 27, 2014","1,281.90",19.395
"Aug 28, 2014","1,288.70",19.534000000000002
"Aug 29, 2014","1,285.80",19.398
"Aug 31, 2014","1,287.70",19.48
"Sep 01, 2014","1,287.40",19.502
"Sep 02, 2014","1,263.70",19.070999999999998
"Sep 03, 2014","1,268.90",19.108
"Sep 04, 2014","1,265.10",19.064
"Sep 05, 2014","1,265.80",19.082
"Sep 08, 2014","1,252.70",18.887
"Sep 09, 2014","1,246.80",18.844
"Sep 10, 2014","1,243.50",18.855999999999998
"Sep 11, 2014","1,237.40",18.533
"Sep 12, 2014","1,229.90",18.546
"Sep 15, 2014","1,233.60",18.555999999999997
"Sep 16, 2014","1,235.20",18.656
"Sep 17, 2014","1,234.40",18.663
"Sep 18, 2014","1,225.70",18.452
"Sep 19, 2014","1,215.30",17.781
"Sep 22, 2014","1,216.80",17.699
"Sep 23, 2014","1,221.00",17.713
"Sep 24, 2014","1,218.60",17.643
"Sep 25, 2014","1,221.20",17.379
"Sep 26, 2014","1,214.10",17.477
"Sep 29, 2014","1,217.50",17.516
"Sep 30, 2014","1,210.50",17.006
