Date,Price,Open,High,Low,Vol.,Change %
"Sep 27, 2018","1,198.50","1,211.30","1,211.30","1,196.60",1.15K,-0.97%
"Sep 26, 2018","1,210.30","1,216.90","1,217.90","1,209.90",0.91K,-0.51%
"Sep 25, 2018","1,216.50","1,215.70","1,217.60","1,215.70",0.45K,0.07%
"Sep 24, 2018","1,215.70","1,214.30","1,219.40","1,214.30",1.03K,0.26%
"Sep 21, 2018","1,212.60","1,224.80","1,226.30","1,208.90",1.00K,-0.83%
"Sep 20, 2018","1,222.70","1,221.90","1,223.80","1,218.20",0.49K,0.25%
"Sep 19, 2018","1,219.70","1,218.90","1,221.80","1,217.30",0.41K,0.45%
"Sep 18, 2018","1,214.20","1,216.90","1,218.60","1,214.00",0.46K,-0.24%
"Sep 17, 2018","1,217.10","1,211.10","1,220.60","1,211.10",0.23K,0.39%
"Sep 14, 2018","1,212.40","1,219.80","1,223.50","1,210.70",1.18K,-0.59%
"Sep 13, 2018","1,219.60","1,221.90","1,229.00","1,217.20",1.16K,-0.22%
"Sep 12, 2018","1,222.30","1,211.10","1,224.60","1,209.80",1.14K,0.73%
"Sep 11, 2018","1,213.50","1,212.00","1,213.70","1,204.50",1.64K,0.20%
"Sep 10, 2018","1,211.10","1,212.40","1,213.80","1,209.10",0.71K,-0.05%
"Sep 07, 2018","1,211.70","1,220.10","1,220.10","1,211.30",1.11K,-0.32%
"Sep 06, 2018","1,215.60","1,216.20","1,223.40","1,212.00",0.81K,0.26%
"Sep 05, 2018","1,212.40","1,211.50","1,214.50","1,210.20",0.89K,0.19%
"Sep 04, 2018","1,210.10","1,219.10","1,219.70","1,206.20",0.49K,0.32%
"Sep 03, 2018","1,206.30","1,204.90","1,209.60","1,201.30",-,0.12%
"Sep 02, 2018","1,204.90","1,206.20","1,206.60","1,204.50",-,-1.05%
"Aug 31, 2018","1,217.70","1,218.10","1,221.20","1,216.10",0.18K,0.15%
"Aug 30, 2018","1,215.90","1,221.80","1,222.00","1,215.00",0.75K,-0.55%
"Aug 29, 2018","1,222.60","1,220.10","1,223.40","1,220.10",0.27K,-0.24%
"Aug 28, 2018","1,225.60","1,228.90","1,230.50","1,218.30",1.37K,-0.13%
"Aug 27, 2018","1,227.20","1,224.50","1,229.50","1,222.40",0.16K,0.23%
"Aug 24, 2018","1,224.40","1,201.10","1,225.50","1,201.10",0.15K,1.62%
"Aug 23, 2018","1,204.90","1,206.70","1,208.30","1,202.80",0.07K,-0.77%
"Aug 22, 2018","1,214.30","1,213.20","1,218.70","1,213.00",0.59K,0.27%
"Aug 21, 2018","1,211.00","1,210.90","1,212.90","1,205.70",0.22K,0.45%
"Aug 20, 2018","1,205.60","1,201.30","1,208.00","1,201.30",0.38K,0.87%
"Aug 17, 2018","1,195.20","1,195.20","1,197.20","1,193.10",0.15K,0.02%
"Aug 16, 2018","1,195.00","1,187.70","1,198.50","1,182.70",0.54K,-0.08%
"Aug 15, 2018","1,195.90","1,212.00","1,212.30","1,194.60",1.03K,-1.31%
"Aug 14, 2018","1,211.80","1,212.80","1,215.40","1,210.70",0.33K,0.15%
"Aug 13, 2018","1,210.00","1,225.50","1,225.50","1,209.70",1.46K,-1.65%
"Aug 10, 2018","1,230.30","1,230.00","1,233.70","1,225.50",0.94K,-0.07%
"Aug 09, 2018","1,231.20","1,233.60","1,235.40","1,233.60",0.64K,-0.09%
"Aug 08, 2018","1,232.30","1,228.00","1,232.20","1,228.00",0.76K,0.22%
"Aug 07, 2018","1,229.60","1,233.20","1,233.20","1,229.00",0.66K,0.04%
"Aug 06, 2018","1,229.10","1,233.40","1,235.10","1,227.90",0.24K,-0.45%
"Aug 03, 2018","1,234.60","1,227.70","1,238.70","1,225.90",0.17K,0.26%
"Aug 02, 2018","1,231.40","1,237.50","1,238.10","1,228.20",0.48K,-0.61%
"Aug 01, 2018","1,239.00","1,241.10","1,243.70","1,236.20",0.39K,-0.47%
"Jul 31, 2018","1,244.90","1,240.00","1,248.00","1,239.20",1.14K,0.19%
"Jul 30, 2018","1,242.60","1,241.30","1,244.70","1,241.30",0.68K,-0.11%
"Jul 27, 2018","1,244.00","1,240.50","1,247.10","1,240.50",0.21K,-0.21%
"Jul 26, 2018","1,246.60","1,248.50","1,248.80","1,243.10",0.43K,-0.46%
"Jul 25, 2018","1,252.30","1,246.00","1,254.00","1,246.00",0.72K,0.51%
"Jul 24, 2018","1,246.00","1,245.30","1,249.10","1,243.60",0.48K,0.01%
"Jul 23, 2018","1,245.90","1,253.70","1,253.70","1,245.10",0.75K,-0.49%
"Jul 20, 2018","1,252.00","1,245.50","1,251.50","1,245.40",0.96K,0.52%
"Jul 19, 2018","1,245.50","1,249.00","1,249.00","1,233.10",1.62K,-0.37%
"Jul 18, 2018","1,250.10","1,246.60","1,248.50","1,243.80",0.24K,0.05%
"Jul 17, 2018","1,249.50","1,254.30","1,255.20","1,249.20",1.19K,-1.01%
"Jul 16, 2018","1,262.30","1,266.00","1,267.30","1,261.20",0.64K,-0.13%
"Jul 13, 2018","1,264.00","1,264.20","1,264.50","1,264.20",0.49K,-0.44%
"Jul 12, 2018","1,269.60","1,266.00","1,269.70","1,266.00",0.59K,0.15%
"Jul 11, 2018","1,267.70","1,274.50","1,275.90","1,266.00",0.44K,-0.89%
"Jul 10, 2018","1,279.10","1,278.10","1,279.20","1,278.10",1.64K,-0.31%
"Jul 09, 2018","1,283.10","1,281.60","1,289.50","1,281.60",0.61K,0.32%
"Jul 06, 2018","1,279.00","1,279.50","1,282.30","1,278.60",0.02K,-0.21%
"Jul 05, 2018","1,281.70","1,284.50","1,284.50","1,277.30",0.05K,1.88%
"Jul 04, 2018","1,258.10","1,256.20","1,262.40","1,255.30",-,-1.45%
"Jul 03, 2018","1,276.60","1,265.20","1,276.70","1,265.20",0.33K,0.94%
"Jul 02, 2018","1,264.70","1,271.20","1,271.20","1,264.00",0.14K,-1.06%
"Jun 29, 2018","1,278.30","1,276.00","1,278.70","1,275.10",0.05K,0.28%
"Jun 28, 2018","1,274.70","1,277.80","1,278.10","1,271.70",0.70K,-0.43%
"Jun 27, 2018","1,280.20","1,284.60","1,285.60","1,277.60",0.33K,-0.30%
"Jun 26, 2018","1,284.00","1,288.70","1,289.90","1,282.30",0.02K,-0.71%
"Jun 25, 2018","1,293.20","1,295.00","1,295.00","1,292.10",0.15K,-0.13%
"Jun 22, 2018","1,294.90","1,294.80","1,294.80","1,293.60",0.47K,0.01%
"Jun 21, 2018","1,294.80","1,294.00","1,294.00","1,287.10",0.05K,-0.32%
"Jun 20, 2018","1,299.00","1,300.60","1,300.60","1,300.00",0.17K,-0.32%
"Jun 19, 2018","1,303.20","1,309.40","1,309.40","1,299.10",0.14K,-0.13%
"Jun 18, 2018","1,304.90","1,306.40","1,306.40","1,306.40",0.01K,0.13%
"Jun 15, 2018","1,303.20","1,322.10","1,322.10","1,309.00",0.10K,-2.28%
"Jun 14, 2018","1,333.60","1,328.70","1,337.80","1,328.70",0.31K,0.53%
"Jun 13, 2018","1,326.60","1,323.30","1,323.60","1,323.30",0.46K,0.14%
"Jun 12, 2018","1,324.70","1,326.80","1,327.50","1,325.60",0.41K,-0.29%
"Jun 11, 2018","1,328.50","1,327.40","1,328.80","1,327.40",0.27K,0.06%
"Jun 08, 2018","1,327.70","1,327.70","1,327.70","1,327.70",0.29K,0.01%
"Jun 07, 2018","1,327.60","1,327.50","1,327.50","1,327.50",0.98K,0.10%
"Jun 06, 2018","1,326.30","1,330.00","1,330.00","1,329.40",0.50K,-0.07%
"Jun 05, 2018","1,327.20","1,326.10","1,326.10","1,326.10",0.01K,0.37%
"Jun 04, 2018","1,322.30","1,325.80","1,326.60","1,325.80",0.17K,-0.17%
"Jun 01, 2018","1,324.50","1,323.80","1,323.80","1,323.40",0.31K,-0.39%
"May 31, 2018","1,329.70","1,333.80","1,333.80","1,330.00",0.29K,-0.15%
"May 30, 2018","1,331.70","1,329.50","1,332.30","1,329.50",0.16K,0.19%
"May 29, 2018","1,329.20","1,328.10","1,333.60","1,324.60",0.45K,2.44%
"May 28, 2018","1,297.60","1,298.40","1,299.70","1,294.70",-,-0.05%
"May 27, 2018","1,298.30","1,299.80","1,299.90","1,296.10",-,-2.71%
"May 25, 2018","1,334.40","1,335.50","1,335.50","1,333.30",0.21K,-0.07%
"May 24, 2018","1,335.40","1,327.50","1,336.40","1,327.50",0.23K,1.14%
"May 23, 2018","1,320.40","1,321.10","1,324.80","1,321.10",0.13K,-0.20%
"May 22, 2018","1,323.00","1,319.50","1,325.40","1,319.50",0.02K,0.08%
"May 21, 2018","1,321.90","1,318.00","1,323.10","1,314.50",0.01K,-0.02%
"May 18, 2018","1,322.20","1,317.10","1,322.20","1,317.10",0.23K,0.11%
"May 17, 2018","1,320.80","1,321.10","1,321.10","1,316.00",0.04K,-0.17%
"May 16, 2018","1,323.10","1,321.50","1,323.90","1,317.30",0.29K,0.11%
"May 15, 2018","1,321.70","1,337.20","1,337.20","1,337.20",0.09K,-2.08%
"May 14, 2018","1,349.80","1,352.10","1,352.80","1,345.60",0.31K,-0.19%
"May 11, 2018","1,352.40","1,356.80","1,356.80","1,352.80",0.23K,-0.12%
"May 10, 2018","1,354.00","1,349.80","1,353.80","1,348.80",0.05K,3.26%
"May 09, 2018","1,311.30","1,311.30","1,311.30","1,311.30",0.07K,-2.55%
"May 08, 2018","1,345.60","1,347.70","1,347.70","1,342.90",0.02K,2.55%
"May 07, 2018","1,312.20","1,310.60","1,312.50","1,310.20",0.00K,-2.55%
"May 04, 2018","1,346.50","1,344.40","1,346.50","1,344.40",0.02K,0.17%
"May 03, 2018","1,344.20","1,344.10","1,347.00","1,344.10",0.02K,0.53%
"May 02, 2018","1,337.10","1,336.70","1,345.40","1,336.70",0.04K,-0.08%
"May 01, 2018","1,338.20","1,345.70","1,345.70","1,338.10",0.03K,-0.94%
"Apr 30, 2018","1,350.90","1,349.50","1,349.50","1,346.90",0.18K,-0.32%
"Apr 27, 2018","1,355.30","1,348.80","1,354.20","1,348.80",0.01K,2.96%
"Apr 26, 2018","1,316.30","1,315.70","1,315.80","1,315.70",0.01K,-2.83%
"Apr 25, 2018","1,354.70","1,353.50","1,354.60","1,353.00",0.03K,-0.75%
"Apr 24, 2018","1,364.90","1,361.20","1,364.80","1,361.20",0.01K,0.67%
"Apr 23, 2018","1,355.80","1,367.00","1,367.00","1,357.00",0.12K,-1.04%
"Apr 20, 2018","1,370.00","1,370.00","1,370.50","1,369.20",0.14K,1.72%
"Apr 19, 2018","1,346.80","1,348.60","1,355.20","1,341.60",0.39K,-2.77%
"Apr 18, 2018","1,385.20","1,385.50","1,385.50","1,385.50",0.00K,0.29%
"Apr 17, 2018","1,381.20","1,378.70","1,378.70","1,378.10",0.82K,-0.09%
"Apr 16, 2018","1,382.50","1,380.00","1,382.50","1,378.80",0.07K,0.20%
"Apr 13, 2018","1,379.70","1,375.00","1,380.10","1,369.00",0.01K,0.45%
"Apr 12, 2018","1,373.50","1,378.00","1,378.00","1,369.00",0.09K,-1.31%
"Apr 11, 2018","1,391.70","1,375.90","1,399.00","1,375.90",0.59K,1.04%
"Apr 10, 2018","1,377.40","1,371.10","1,371.10","1,371.10",0.10K,0.43%
"Apr 09, 2018","1,371.50","1,368.00","1,368.00","1,366.80",0.10K,0.28%
"Apr 06, 2018","1,367.70","1,367.60","1,367.70","1,367.50",0.06K,0.57%
"Apr 05, 2018","1,360.00","1,364.40","1,364.40","1,360.90",0.35K,-0.85%
"Apr 04, 2018","1,371.60","1,375.90","1,376.40","1,375.40",0.04K,2.91%
"Apr 03, 2018","1,332.80","1,340.40","1,341.50","1,328.50",0.70K,-3.29%
"Apr 02, 2018","1,378.20","1,368.60","1,369.50","1,368.60",0.06K,1.46%
"Mar 29, 2018","1,358.40","1,358.60","1,358.80","1,357.00",0.02K,-0.21%
"Mar 28, 2018","1,361.20","1,381.50","1,381.50","1,361.00",0.02K,-1.31%
"Mar 27, 2018","1,379.20","1,389.00","1,392.50","1,383.00",0.02K,-0.95%
"Mar 26, 2018","1,392.40","1,389.40","1,391.70","1,389.40",0.36K,0.40%
"Mar 23, 2018","1,386.80","1,378.90","1,385.00","1,378.90",0.02K,1.66%
"Mar 22, 2018","1,364.10","1,365.20","1,365.20","1,363.70",0.05K,0.41%
"Mar 21, 2018","1,358.50","1,351.10","1,359.70","1,351.10",0.13K,0.77%
"Mar 20, 2018","1,348.10","1,347.90","1,347.90","1,347.90",0.21K,-0.41%
"Mar 19, 2018","1,353.60","1,347.20","1,347.20","1,347.20",0.57K,0.40%
"Mar 16, 2018","1,348.20","1,351.90","1,351.90","1,351.90",0.33K,-0.41%
"Mar 15, 2018","1,353.70","1,362.90","1,362.90","1,362.90",0.00K,2.21%
"Mar 14, 2018","1,324.40","1,322.20","1,324.10","1,322.20",0.02K,-0.11%
"Mar 13, 2018","1,325.90","1,325.30","1,325.30","1,325.30",0.01K,-2.28%
"Mar 12, 2018","1,356.90","1,358.80","1,358.80","1,358.80",0.01K,2.61%
"Mar 09, 2018","1,322.40","1,316.80","1,322.20","1,313.00",0.09K,0.19%
"Mar 08, 2018","1,319.90","1,324.80","1,326.80","1,319.30",0.06K,-3.18%
"Mar 07, 2018","1,363.30","1,372.60","1,372.60","1,366.10",0.06K,-0.57%
"Mar 06, 2018","1,371.10","1,369.30","1,369.30","1,369.30",0.00K,1.12%
"Mar 05, 2018","1,355.90","1,363.70","1,363.70","1,360.70",0.01K,2.63%
"Mar 02, 2018","1,321.10","1,314.30","1,323.20","1,314.30",0.16K,1.40%
"Mar 01, 2018","1,302.90","1,310.40","1,318.10","1,301.80",0.04K,-0.96%
"Feb 28, 2018","1,315.50","1,315.40","1,321.00","1,315.40",0.06K,-2.93%
"Feb 27, 2018","1,355.20","1,371.30","1,371.30","1,355.50",0.41K,-0.99%
"Feb 26, 2018","1,368.80","1,367.00","1,376.50","1,367.00",0.37K,3.06%
"Feb 23, 2018","1,328.20","1,328.00","1,332.10","1,327.70",0.43K,-2.87%
"Feb 22, 2018","1,367.50","1,359.00","1,367.30","1,359.00",0.06K,0.04%
"Feb 21, 2018","1,366.90","1,372.10","1,372.10","1,372.10",0.03K,2.87%
"Feb 20, 2018","1,328.80","1,348.40","1,350.20","1,328.50",0.28K,-1.41%
"Feb 19, 2018","1,347.80","1,350.40","1,353.90","1,347.40",-,-0.20%
"Feb 18, 2018","1,350.50","1,349.70","1,352.40","1,349.70",-,-2.87%
"Feb 16, 2018","1,390.40","1,390.90","1,392.40","1,386.40",0.15K,0.10%
"Feb 15, 2018","1,389.00","1,385.00","1,389.90","1,385.00",0.04K,-0.12%
"Feb 14, 2018","1,390.60","1,368.70","1,389.00","1,368.70",0.04K,2.05%
"Feb 13, 2018","1,362.60","1,363.70","1,363.70","1,360.10",0.01K,0.29%
"Feb 12, 2018","1,358.70","1,361.00","1,362.00","1,353.80",0.02K,0.78%
"Feb 09, 2018","1,348.20","1,352.50","1,352.70","1,348.10",0.04K,-0.26%
"Feb 08, 2018","1,351.70","1,350.80","1,350.90","1,345.30",0.11K,0.30%
"Feb 07, 2018","1,347.60","1,365.70","1,365.70","1,349.20",0.04K,-1.08%
"Feb 06, 2018","1,362.30","1,365.80","1,365.80","1,359.80",0.07K,2.20%
"Feb 05, 2018","1,333.00","1,331.10","1,340.20","1,329.00",0.64K,-2.75%
"Feb 02, 2018","1,370.70","1,371.50","1,372.00","1,367.00",0.03K,1.96%
"Feb 01, 2018","1,344.30","1,343.80","1,350.60","1,336.80",1.68K,0.40%
"Jan 31, 2018","1,339.00","1,337.50","1,346.90","1,331.80",4.88K,0.27%
"Jan 30, 2018","1,335.40","1,338.70","1,347.80","1,332.80",52.10K,-3.14%
"Jan 29, 2018","1,378.70","1,379.50","1,379.90","1,379.50",0.06K,2.01%
"Jan 26, 2018","1,351.60","1,351.60","1,352.00","1,350.90",0.00K,-3.61%
"Jan 25, 2018","1,402.20","1,401.10","1,404.40","1,393.30",0.10K,0.47%
"Jan 24, 2018","1,395.70","1,385.30","1,400.40","1,385.30",1.06K,4.49%
"Jan 23, 2018","1,335.70","1,335.80","1,335.90","1,335.80",0.05K,0.36%
"Jan 22, 2018","1,330.90","1,328.40","1,328.40","1,328.40",0.16K,-0.08%
"Jan 19, 2018","1,331.90","1,330.10","1,333.00","1,330.10",0.05K,0.44%
"Jan 18, 2018","1,326.00","1,328.90","1,328.90","1,326.60",0.21K,-0.90%
"Jan 17, 2018","1,338.00","1,334.40","1,334.40","1,326.80",0.03K,0.19%
"Jan 16, 2018","1,335.40","1,331.10","1,332.50","1,331.00",0.01K,-0.48%
"Jan 15, 2018","1,341.80","1,337.30","1,344.90","1,337.00",-,0.33%
"Jan 14, 2018","1,337.40","1,337.70","1,338.60","1,336.40",-,-2.48%
"Jan 12, 2018","1,371.40","1,376.00","1,376.00","1,376.00",0.02K,1.01%
"Jan 11, 2018","1,357.70","1,357.50","1,357.50","1,357.50",0.00K,0.24%
"Jan 10, 2018","1,354.50","1,346.40","1,346.40","1,345.00",0.03K,0.46%
"Jan 09, 2018","1,348.30","1,345.80","1,345.80","1,345.50",0.02K,2.25%
"Jan 08, 2018","1,318.60","1,319.90","1,319.90","1,314.60",0.04K,-0.13%
"Jan 05, 2018","1,320.30","1,320.30","1,320.30","1,320.30",0.00K,-2.63%
"Jan 04, 2018","1,355.90","1,341.70","1,353.30","1,341.70",0.01K,0.22%
"Jan 03, 2018","1,352.90","1,349.90","1,351.60","1,346.80",0.02K,0.22%
"Jan 02, 2018","1,349.90","1,348.70","1,348.70","1,348.70",0.01K,3.15%
"Jan 01, 2018","1,308.70","1,305.80","1,309.70","1,304.60",-,-2.52%
"Dec 29, 2017","1,342.50","1,343.00","1,343.00","1,343.00",0.01K,3.74%
"Dec 28, 2017","1,294.10","1,288.20","1,293.70","1,288.20",0.25K,-2.22%
"Dec 27, 2017","1,323.50","1,322.70","1,322.70","1,321.20",0.01K,0.29%
"Dec 26, 2017","1,319.70","1,315.00","1,318.60","1,315.00",0.01K,3.27%
"Dec 25, 2017","1,277.90","1,278.90","1,279.50","1,277.90",-,-2.52%
"Dec 22, 2017","1,311.00","1,310.60","1,312.10","1,310.60",0.01K,0.64%
"Dec 21, 2017","1,302.60","1,302.50","1,302.50","1,302.50",0.01K,0.08%
"Dec 20, 2017","1,301.60","1,301.60","1,301.60","1,300.90",0.02K,3.24%
"Dec 19, 2017","1,260.70","1,261.10","1,264.30","1,259.50",0.33K,-2.81%
"Dec 18, 2017","1,297.20","1,294.90","1,294.90","1,294.90",0.00K,3.42%
"Dec 15, 2017","1,254.30","1,253.10","1,260.30","1,253.10",0.58K,-2.68%
"Dec 14, 2017","1,288.80","1,287.20","1,288.80","1,284.50",0.15K,3.48%
"Dec 13, 2017","1,245.40","1,241.90","1,254.50","1,239.80",0.35K,-2.21%
"Dec 12, 2017","1,273.50","1,277.60","1,277.60","1,270.10",0.03K,2.40%
"Dec 11, 2017","1,243.70","1,248.40","1,249.20","1,239.90",0.15K,-2.84%
"Dec 08, 2017","1,280.00","1,280.80","1,282.30","1,280.70",0.00K,2.42%
"Dec 07, 2017","1,249.80","1,262.30","1,262.40","1,243.90",0.36K,-1.03%
"Dec 06, 2017","1,262.80","1,264.90","1,267.80","1,261.60",0.37K,-2.63%
"Dec 05, 2017","1,296.90","1,298.50","1,298.80","1,298.50",0.02K,1.77%
"Dec 04, 2017","1,274.30","1,272.50","1,276.10","1,270.30",0.85K,-3.07%
"Dec 01, 2017","1,314.60","1,322.70","1,322.70","1,322.70",0.00K,3.25%
"Nov 30, 2017","1,273.20","1,283.10","1,284.50","1,269.70",3.05K,-0.69%
"Nov 29, 2017","1,282.10","1,293.40","1,296.20","1,281.10",47.24K,-0.97%
"Nov 28, 2017","1,294.70","1,294.70","1,294.70","1,294.70",4.06K,-2.71%
"Nov 27, 2017","1,330.80","1,324.60","1,324.60","1,324.60",0.00K,0.54%
"Nov 24, 2017","1,323.70","1,323.40","1,323.40","1,323.40",0.01K,2.48%
"Nov 23, 2017","1,291.66","1,291.19","1,293.87","1,287.65",-,0.00%
"Nov 22, 2017","1,291.60","1,284.70","1,284.70","1,282.90",0.00K,0.82%
"Nov 21, 2017","1,281.10","1,281.10","1,281.10","1,281.10",3.33K,0.51%
"Nov 20, 2017","1,274.60","1,275.90","1,275.90","1,275.90",0.00K,-1.64%
"Nov 17, 2017","1,295.80","1,288.30","1,288.30","1,288.30",0.00K,1.44%
"Nov 16, 2017","1,277.40","1,277.50","1,277.50","1,277.50",0.04K,0.07%
"Nov 15, 2017","1,276.50","1,281.40","1,284.70","1,275.90",0.01K,-0.39%
"Nov 14, 2017","1,281.50","1,276.90","1,279.10","1,276.90",0.00K,0.33%
"Nov 13, 2017","1,277.30","1,277.00","1,277.00","1,277.00",0.00K,0.39%
"Nov 10, 2017","1,272.40","1,283.50","1,283.50","1,273.80",0.01K,-1.03%
"Nov 09, 2017","1,285.60","1,279.70","1,286.90","1,279.70",0.02K,0.31%
"Nov 08, 2017","1,281.60","1,275.90","1,284.90","1,274.70",0.02K,-2.10%
"Nov 07, 2017","1,309.10","1,313.00","1,313.00","1,313.00",0.00K,2.32%
"Nov 06, 2017","1,279.40","1,269.00","1,280.50","1,269.00",0.13K,1.02%
"Nov 03, 2017","1,266.50","1,265.30","1,267.90","1,265.30",0.08K,-0.66%
"Nov 02, 2017","1,274.90","1,274.90","1,274.90","1,274.90",0.07K,0.06%
"Nov 01, 2017","1,274.10","1,272.20","1,274.80","1,270.30",0.08K,0.56%
"Oct 31, 2017","1,267.00","1,273.10","1,274.60","1,266.10",0.24K,-0.56%
"Oct 30, 2017","1,274.10","1,270.00","1,274.10","1,267.90",0.22K,-2.33%
