"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2017","17.480","17.420","17.600","17.255","1.47K","0.44%"
"Aug 30, 2017","17.404","17.390","17.460","17.285","21.20K","-0.10%"
"Aug 29, 2017","17.422","17.422","17.422","17.422","0.00K","-0.05%"
"Aug 28, 2017","17.431","17.431","17.431","17.431","99.64K","2.28%"
"Aug 27, 2017","17.042","17.069","17.216","17.040","-","0.02%"
"Aug 25, 2017","17.038","17.038","17.038","17.038","0.07K","0.51%"
"Aug 24, 2017","16.952","17.055","17.060","17.055","0.05K","-0.47%"
"Aug 23, 2017","17.032","17.032","17.032","17.032","0.04K","0.41%"
"Aug 22, 2017","16.962","16.962","16.962","16.962","0.02K","-0.19%"
"Aug 21, 2017","16.995","16.995","16.995","16.995","0.02K","0.59%"
"Aug 20, 2017","16.896","16.939","16.944","16.829","-","-0.49%"
"Aug 18, 2017","16.980","16.980","16.980","16.980","0.03K","-0.29%"
"Aug 17, 2017","17.030","17.130","17.130","16.990","0.06K","0.67%"
"Aug 16, 2017","16.917","16.695","17.065","16.695","0.03K","1.36%"
"Aug 15, 2017","16.690","16.690","16.690","16.690","0.02K","-2.36%"
"Aug 14, 2017","17.093","17.055","17.115","16.990","0.06K","0.10%"
"Aug 13, 2017","17.076","17.104","17.110","17.064","-","0.21%"
"Aug 11, 2017","17.041","17.095","17.105","17.020","0.05K","0.03%"
"Aug 10, 2017","17.036","16.945","17.210","16.945","0.17K","1.20%"
"Aug 09, 2017","16.834","16.505","16.850","16.475","0.09K","2.90%"
"Aug 08, 2017","16.360","16.365","16.420","16.340","0.04K","0.86%"
"Aug 07, 2017","16.221","16.200","16.235","16.090","0.00K","-0.02%"
"Aug 06, 2017","16.225","16.267","16.267","16.225","-","0.02%"
"Aug 04, 2017","16.222","16.265","16.265","16.205","0.00K","-2.24%"
"Aug 03, 2017","16.594","16.594","16.594","16.594","57.97K","-0.62%"
"Aug 02, 2017","16.697","16.697","16.697","16.697","0.01K","-0.19%"
"Aug 01, 2017","16.728","16.635","16.785","16.635","0.04K","-0.13%"
"Jul 31, 2017","16.750","16.735","16.825","16.730","0.28K","-0.14%"
"Jul 30, 2017","16.773","16.757","16.787","16.752","-","0.65%"
"Jul 28, 2017","16.664","16.495","16.690","16.490","0.08K","0.82%"
"Jul 27, 2017","16.529","16.625","16.650","16.625","0.01K","0.69%"
"Jul 26, 2017","16.415","16.400","16.610","16.365","0.10K","-0.50%"
"Jul 25, 2017","16.497","16.410","16.410","16.265","0.03K","0.60%"
"Jul 24, 2017","16.398","16.415","16.465","16.355","0.12K","-0.64%"
"Jul 23, 2017","16.504","16.500","16.506","16.448","-","0.57%"
"Jul 21, 2017","16.410","16.250","16.440","16.250","0.07K","0.68%"
"Jul 20, 2017","16.299","16.180","16.325","16.135","0.07K","0.30%"
"Jul 19, 2017","16.251","16.140","16.250","16.130","0.05K","0.18%"
"Jul 18, 2017","16.222","16.025","16.255","16.025","0.10K","1.07%"
"Jul 17, 2017","16.050","16.100","16.110","16.040","0.06K","0.17%"
"Jul 16, 2017","16.022","15.966","16.024","15.947","-","0.87%"
"Jul 14, 2017","15.884","15.635","15.965","15.585","0.06K","1.55%"
"Jul 13, 2017","15.642","15.890","15.890","15.640","0.02K","-1.24%"
"Jul 12, 2017","15.839","15.770","15.875","15.760","0.06K","0.90%"
"Jul 11, 2017","15.697","15.575","15.760","15.400","0.16K","0.77%"
"Jul 10, 2017","15.577","15.540","15.615","15.150","0.29K","-0.08%"
"Jul 09, 2017","15.589","15.597","15.604","15.538","-","1.42%"
"Jul 07, 2017","15.371","15.960","15.965","15.300","0.30K","-3.49%"
"Jul 06, 2017","15.927","15.995","16.000","15.885","0.19K","0.54%"
"Jul 05, 2017","15.842","16.100","16.100","15.835","0.62K","-1.76%"
"Jul 04, 2017","16.126","16.152","16.169","16.013","-","0.55%"
"Jul 03, 2017","16.037","16.580","16.580","16.030","0.43K","-3.35%"
"Jul 02, 2017","16.593","16.601","16.613","16.583","-","0.15%"
"Jun 30, 2017","16.568","16.590","16.630","16.440","1.34K","-0.11%"
"Jun 29, 2017","16.586","16.770","16.860","16.555","17.57K","-0.77%"
"Jun 28, 2017","16.715","16.745","16.745","16.685","0.01K","0.84%"
"Jun 27, 2017","16.576","16.576","16.576","16.576","51.95K","0.10%"
"Jun 26, 2017","16.560","16.425","16.555","16.425","0.00K","-0.72%"
"Jun 25, 2017","16.680","16.685","16.720","16.655","-","0.31%"
"Jun 23, 2017","16.628","16.650","16.650","16.650","0.00K","0.84%"
"Jun 22, 2017","16.490","16.440","16.440","16.440","0.00K","0.83%"
"Jun 21, 2017","16.355","16.460","16.470","16.330","0.02K","-0.26%"
"Jun 20, 2017","16.398","16.470","16.570","16.375","0.05K","-0.52%"
"Jun 19, 2017","16.483","16.510","16.530","16.500","0.01K","-1.11%"
"Jun 18, 2017","16.668","16.649","16.669","16.642","-","0.19%"
"Jun 16, 2017","16.636","16.735","16.735","16.695","0.00K","-0.33%"
"Jun 15, 2017","16.691","16.630","16.730","16.630","0.01K","-2.43%"
"Jun 14, 2017","17.107","16.840","17.180","16.840","0.08K","2.20%"
"Jun 13, 2017","16.738","16.915","16.915","16.765","0.04K","-1.04%"
"Jun 12, 2017","16.914","17.115","17.115","17.005","0.01K","-1.36%"
"Jun 11, 2017","17.147","17.165","17.178","17.119","-","-0.27%"
"Jun 09, 2017","17.193","17.455","17.455","17.175","0.03K","-1.10%"
"Jun 08, 2017","17.384","17.595","17.605","17.365","0.02K","-1.15%"
"Jun 07, 2017","17.587","17.625","17.690","17.510","0.10K","-0.51%"
"Jun 06, 2017","17.677","17.510","17.695","17.510","0.02K","0.74%"
"Jun 05, 2017","17.547","17.545","17.600","17.545","0.01K","-0.15%"
"Jun 04, 2017","17.574","17.548","17.593","17.533","-","0.50%"
"Jun 02, 2017","17.487","17.205","17.505","17.120","0.25K","1.42%"
"Jun 01, 2017","17.243","17.300","17.305","17.025","0.08K","-0.72%"
"May 31, 2017","17.368","17.210","17.340","17.210","0.05K","-0.12%"
"May 30, 2017","17.388","17.335","17.400","17.210","0.88K","-0.02%"
"May 29, 2017","17.392","17.385","17.449","17.330","-","0.01%"
"May 28, 2017","17.390","17.348","17.394","17.348","-","0.62%"
"May 26, 2017","17.283","17.105","17.310","17.100","0.03K","0.76%"
"May 25, 2017","17.152","17.165","17.190","17.150","0.09K","0.44%"
"May 24, 2017","17.077","16.990","17.075","16.990","0.02K","-0.08%"
"May 23, 2017","17.091","17.080","17.230","17.010","0.07K","-0.30%"
"May 22, 2017","17.143","17.143","17.143","17.143","0.00K","0.90%"
"May 21, 2017","16.990","16.873","17.145","16.857","-","1.43%"
"May 19, 2017","16.750","16.525","16.775","16.525","0.07K","0.78%"
"May 18, 2017","16.621","16.700","16.705","16.510","0.06K","-1.37%"
"May 17, 2017","16.852","16.855","16.955","16.740","0.12K","0.95%"
"May 16, 2017","16.693","16.580","16.775","16.580","0.05K","0.80%"
"May 15, 2017","16.561","16.435","16.735","16.425","0.08K","0.55%"
"May 14, 2017","16.471","16.467","16.505","16.467","-","0.76%"
"May 12, 2017","16.346","16.285","16.405","16.280","0.04K","0.85%"
"May 11, 2017","16.209","16.155","16.315","16.155","0.07K","0.36%"
"May 10, 2017","16.151","16.145","16.235","16.100","0.13K","0.89%"
"May 09, 2017","16.008","16.145","16.185","16.030","0.09K","-1.18%"
"May 08, 2017","16.199","16.260","16.395","16.200","0.15K","-1.76%"
"May 07, 2017","16.490","16.311","16.491","16.311","-","1.70%"
"May 05, 2017","16.215","16.290","16.465","16.195","0.19K","-0.18%"
"May 04, 2017","16.244","16.425","16.550","16.210","0.68K","-1.47%"
"May 03, 2017","16.487","16.800","16.835","16.420","1.23K","-1.68%"
"May 02, 2017","16.769","16.855","16.955","16.755","0.54K","-0.07%"
"May 01, 2017","16.780","17.185","17.215","16.760","1.44K","-2.98%"
"Apr 30, 2017","17.295","17.264","17.311","17.264","-","0.60%"
"Apr 28, 2017","17.191","17.225","17.375","17.130","1.54K","-0.43%"
"Apr 27, 2017","17.265","17.460","17.470","17.205","35.74K","-0.51%"
"Apr 26, 2017","17.353","17.353","17.353","17.353","67.57K","-1.30%"
"Apr 25, 2017","17.581","17.575","17.575","17.560","0.03K","-1.50%"
"Apr 24, 2017","17.848","17.848","17.848","17.848","46.78K","-0.35%"
"Apr 23, 2017","17.910","17.850","17.910","17.680","-","0.45%"
"Apr 21, 2017","17.830","17.985","17.990","17.855","0.04K","-0.90%"
"Apr 20, 2017","17.992","17.992","17.992","17.992","41.78K","-0.79%"
"Apr 19, 2017","18.136","18.136","18.136","18.136","0.07K","-0.63%"
"Apr 18, 2017","18.251","18.251","18.251","18.251","36.12K","-1.31%"
"Apr 17, 2017","18.493","18.430","18.435","18.430","0.01K","-0.68%"
"Apr 16, 2017","18.620","18.580","18.630","18.560","-","0.40%"
"Apr 14, 2017","18.545","18.545","18.545","18.545","-","0.30%"
"Apr 13, 2017","18.489","18.475","18.500","18.470","0.01K","1.15%"
"Apr 12, 2017","18.279","18.320","18.390","18.320","0.14K","0.25%"
"Apr 11, 2017","18.233","18.040","18.290","18.040","0.02K","1.89%"
"Apr 10, 2017","17.894","17.820","17.830","17.750","0.06K","-0.54%"
"Apr 09, 2017","17.992","17.992","18.023","17.930","-","-0.76%"
"Apr 07, 2017","18.130","18.350","18.425","18.350","0.01K","-0.52%"
"Apr 06, 2017","18.225","18.170","18.170","18.170","0.14K","0.32%"
"Apr 05, 2017","18.166","18.215","18.215","18.165","0.03K","-0.74%"
"Apr 04, 2017","18.302","18.302","18.302","18.302","0.01K","0.61%"
"Apr 03, 2017","18.191","18.220","18.220","18.200","0.02K","-0.25%"
"Apr 02, 2017","18.237","18.280","18.280","18.237","-","0.01%"
"Mar 31, 2017","18.235","18.120","18.120","18.115","0.02K","0.27%"
"Mar 30, 2017","18.185","18.160","18.250","18.160","0.06K","-0.24%"
"Mar 29, 2017","18.228","18.228","18.228","18.228","0.00K","0.02%"
"Mar 28, 2017","18.225","18.145","18.185","18.140","0.07K","0.80%"
"Mar 27, 2017","18.080","18.100","18.100","18.100","0.01K","1.26%"
"Mar 26, 2017","17.855","17.800","17.883","17.800","-","0.76%"
"Mar 24, 2017","17.720","17.720","17.720","17.720","0.24K","0.89%"
"Mar 23, 2017","17.563","17.575","17.575","17.575","0.03K","0.10%"
"Mar 22, 2017","17.545","17.550","17.550","17.540","0.01K","-0.03%"
"Mar 21, 2017","17.550","17.335","17.530","17.335","0.02K","0.84%"
"Mar 20, 2017","17.403","17.425","17.425","17.355","0.08K","-0.14%"
"Mar 19, 2017","17.428","17.415","17.430","17.398","-","0.28%"
"Mar 17, 2017","17.379","17.300","17.360","17.280","0.06K","0.48%"
"Mar 16, 2017","17.296","17.390","17.470","17.255","0.23K","2.42%"
"Mar 15, 2017","16.888","16.900","17.220","16.820","0.12K","0.00%"
"Mar 14, 2017","16.888","16.925","16.960","16.910","0.09K","-0.28%"
"Mar 13, 2017","16.935","16.975","17.090","16.940","0.21K","-0.48%"
"Mar 12, 2017","17.017","17.050","17.062","17.000","-","0.79%"
"Mar 10, 2017","16.883","16.925","17.050","16.835","0.17K","-0.65%"
"Mar 09, 2017","16.993","17.160","17.255","16.925","0.11K","-1.53%"
"Mar 08, 2017","17.257","17.485","17.500","17.210","0.89K","-1.34%"
"Mar 07, 2017","17.492","17.720","17.720","17.465","0.36K","-1.31%"
"Mar 06, 2017","17.725","17.900","17.900","17.700","0.30K","-1.40%"
"Mar 05, 2017","17.977","17.980","17.980","17.938","-","1.58%"
"Mar 03, 2017","17.697","17.790","17.945","17.625","0.45K","-0.05%"
"Mar 02, 2017","17.705","18.405","18.405","17.690","0.90K","-4.00%"
"Mar 01, 2017","18.443","18.295","18.455","18.250","0.99K","0.12%"
"Feb 28, 2017","18.420","18.290","18.445","18.235","4.01K","0.36%"
"Feb 27, 2017","18.354","18.355","18.475","18.205","24.87K","-0.18%"
"Feb 26, 2017","18.388","18.420","18.430","18.383","-","0.29%"
"Feb 24, 2017","18.335","18.335","18.335","18.335","2.85K","1.23%"
"Feb 23, 2017","18.113","18.055","18.110","18.055","0.07K","0.95%"
"Feb 22, 2017","17.942","17.942","17.942","17.942","3.83K","-0.27%"
"Feb 21, 2017","17.990","17.990","18.050","17.960","0.19K","-0.29%"
"Feb 20, 2017","18.043","18.002","18.060","17.910","-","0.23%"
"Feb 19, 2017","18.002","17.990","18.027","17.980","-","-0.09%"
"Feb 17, 2017","18.019","18.005","18.050","18.005","0.18K","-0.24%"
"Feb 16, 2017","18.063","18.050","18.050","18.050","0.02K","0.65%"
"Feb 15, 2017","17.947","17.920","17.960","17.920","0.02K","0.42%"
"Feb 14, 2017","17.872","17.950","17.960","17.930","0.03K","0.38%"
"Feb 13, 2017","17.804","17.900","17.900","17.900","0.01K","-0.71%"
"Feb 12, 2017","17.932","17.913","17.947","17.913","-","0.11%"
"Feb 10, 2017","17.912","17.580","17.965","17.580","0.07K","1.08%"
"Feb 09, 2017","17.720","17.750","17.815","17.750","0.11K","0.21%"
"Feb 08, 2017","17.683","17.645","17.800","17.645","0.02K","-0.28%"
"Feb 07, 2017","17.733","17.575","17.640","17.575","0.01K","0.37%"
"Feb 06, 2017","17.667","17.595","17.730","17.570","0.03K","1.03%"
"Feb 05, 2017","17.487","17.520","17.545","17.468","-","0.19%"
"Feb 03, 2017","17.453","17.405","17.450","17.405","0.00K","0.29%"
"Feb 02, 2017","17.402","17.670","17.670","17.440","0.02K","-0.10%"
"Feb 01, 2017","17.420","17.450","17.590","17.450","0.02K","-0.53%"
"Jan 31, 2017","17.512","17.330","17.560","17.330","0.03K","2.28%"
"Jan 30, 2017","17.122","17.150","17.150","17.150","0.03K","-0.56%"
"Jan 29, 2017","17.218","17.180","17.233","17.170","-","0.69%"
"Jan 27, 2017","17.100","17.100","17.100","17.100","0.00K","1.70%"
"Jan 26, 2017","16.814","16.814","16.814","16.814","0.40K","-0.77%"
"Jan 25, 2017","16.944","16.830","16.960","16.830","0.01K","-1.20%"
"Jan 24, 2017","17.149","17.149","17.149","17.149","0.00K","-0.01%"
"Jan 23, 2017","17.150","17.200","17.200","17.130","0.01K","-0.19%"
"Jan 22, 2017","17.182","17.127","17.200","17.127","-","1.09%"
"Jan 20, 2017","16.997","16.925","17.120","16.925","0.07K","0.18%"
"Jan 19, 2017","16.967","16.967","16.967","16.967","0.00K","-1.55%"
"Jan 18, 2017","17.235","17.210","17.215","17.210","0.10K","0.78%"
"Jan 17, 2017","17.102","17.102","17.102","17.102","0.86K","1.60%"
"Jan 16, 2017","16.832","16.898","16.947","16.812","-","-0.39%"
"Jan 15, 2017","16.898","16.852","16.938","16.843","-","1.06%"
"Jan 13, 2017","16.720","16.720","16.720","16.720","0.01K","-0.36%"
"Jan 12, 2017","16.780","16.780","16.780","16.780","0.01K","-0.02%"
"Jan 11, 2017","16.783","16.610","16.610","16.610","0.00K","-0.12%"
"Jan 10, 2017","16.803","16.635","16.800","16.595","0.24K","1.04%"
"Jan 09, 2017","16.630","16.445","16.660","16.445","0.00K","0.44%"
"Jan 08, 2017","16.557","16.513","16.557","16.498","-","0.55%"
"Jan 06, 2017","16.466","16.375","16.490","16.375","0.00K","-0.71%"
"Jan 05, 2017","16.584","16.645","16.710","16.620","0.01K","0.52%"
"Jan 04, 2017","16.499","16.400","16.480","16.395","0.01K","0.87%"
"Jan 03, 2017","16.356","16.040","16.435","16.030","0.01K","2.13%"
"Jan 02, 2017","16.015","15.985","16.027","15.968","-","0.50%"
