Date, Platinium
24-02-2016,943.7
25-02-2016,927
26-02-2016,915.1
29-02-2016,934.3
01-03-2016,936.7
02-03-2016,936.2
03-03-2016,942.7
04-03-2016,986.3
07-03-2016,1002
08-03-2016,989.4
09-03-2016,982.8
10-03-2016,977.7
11-03-2016,969.7
14-03-2016,965.4
15-03-2016,959.8
16-03-2016,958.7
17-03-2016,989.1
18-03-2016,970.5
21-03-2016,981.8
22-03-2016,996.8
23-03-2016,960.8
24-03-2016,952.4
28-03-2016,945
29-03-2016,965.92
30-03-2016,965.44
31-03-2016,977.32
01-04-2016,955.2
04-04-2016,943.5
05-04-2016,951.6
06-04-2016,944.7
07-04-2016,954.7
08-04-2016,968.4
11-04-2016,990.8
12-04-2016,999.7
13-04-2016,1003
14-04-2016,992.9
15-04-2016,989.9
18-04-2016,977.8
19-04-2016,1015.7
20-04-2016,1028.1
21-04-2016,1031.9
22-04-2016,1011.2
25-04-2016,1018.5
26-04-2016,1020.1
27-04-2016,1025.4
28-04-2016,1050.7
29-04-2016,1078.4
02-05-2016,1086.4
03-05-2016,1071.6
04-05-2016,1055.6
05-05-2016,1063.8
06-05-2016,1085.1
09-05-2016,1046.8
10-05-2016,1049.3
11-05-2016,1066.1
12-05-2016,1054
13-05-2016,1052.1
16-05-2016,1053.5
17-05-2016,1054.5
18-05-2016,1042.5
19-05-2016,1013.3
20-05-2016,1023.3
23-05-2016,1013.1
24-05-2016,1004.2
25-05-2016,994.8
26-05-2016,995.8
27-05-2016,982.2
31-05-2016,980.4
01-06-2016,971.9
02-06-2016,960.1
03-06-2016,981.9
06-06-2016,996.5
07-06-2016,999.4
08-06-2016,1012
09-06-2016,1003.8
10-06-2016,994.2
13-06-2016,995.3
14-06-2016,971.9
15-06-2016,974.8
16-06-2016,978.3
17-06-2016,966.1
20-06-2016,987.2
21-06-2016,981.5
22-06-2016,983.5
23-06-2016,966.3
24-06-2016,987.1
27-06-2016,979.5
28-06-2016,979.58
29-06-2016,1012.62
30-06-2016,1023.74
01-07-2016,1057.1
05-07-2016,1076.9
06-07-2016,1091.3
07-07-2016,1095.1
08-07-2016,1100.2
11-07-2016,1108.1
12-07-2016,1097.9
13-07-2016,1100.2
14-07-2016,1104.6
15-07-2016,1094.4
18-07-2016,1101.6
19-07-2016,1098.6
20-07-2016,1091.5
21-07-2016,1108
22-07-2016,1088.4
25-07-2016,1088.4
26-07-2016,1099
27-07-2016,1128.2
28-07-2016,1138.9
29-07-2016,1150.6
01-08-2016,1163.3
02-08-2016,1172.1
03-08-2016,1169.6
04-08-2016,1165
05-08-2016,1151.5
08-08-2016,1155.4
09-08-2016,1159.9
10-08-2016,1183.1
11-08-2016,1156.7
12-08-2016,1129.3
15-08-2016,1116.3
16-08-2016,1124.1
17-08-2016,1114.7
18-08-2016,1133.2
19-08-2016,1118.4
22-08-2016,1108.2
23-08-2016,1111.3
24-08-2016,1082.2
25-08-2016,1077
26-08-2016,1077.7
29-08-2016,1081.1
30-08-2016,1056.6
31-08-2016,1053.5
01-09-2016,1048.9
02-09-2016,1062.2
06-09-2016,1102.7
07-09-2016,1092.8
08-09-2016,1084.7
09-09-2016,1067.5
12-09-2016,1042.9
13-09-2016,1036
14-09-2016,1040.9
15-09-2016,1033.8
16-09-2016,1017.6
19-09-2016,1023.7
20-09-2016,1030.9
21-09-2016,1047.9
22-09-2016,1062.8
23-09-2016,1057
26-09-2016,1042.9
27-09-2016,1026.02
28-09-2016,1024.18
29-09-2016,1034.64
30-09-2016,1033.32
03-10-2016,1009.1
04-10-2016,990.5
05-10-2016,976.6
06-10-2016,966.3
07-10-2016,962.6
10-10-2016,965.4
11-10-2016,949.8
12-10-2016,941.9
13-10-2016,932.9
14-10-2016,939.5
17-10-2016,936.2
18-10-2016,946.5
19-10-2016,943.5
20-10-2016,935.4
21-10-2016,932.3
24-10-2016,939.1
25-10-2016,964.9
26-10-2016,964
27-10-2016,964.9
28-10-2016,981.4
31-10-2016,978.6
01-11-2016,997.9
02-11-2016,1001.8
03-11-2016,994.4
04-11-2016,1004.5
07-11-2016,1001.4
08-11-2016,1008.6
09-11-2016,1003.3
10-11-2016,982.2
11-11-2016,943.2
14-11-2016,933.6
15-11-2016,934.7
16-11-2016,946.5
17-11-2016,945.1
18-11-2016,922
21-11-2016,936.5
22-11-2016,943
23-11-2016,931.1
25-11-2016,908.3
28-11-2016,923.3
29-11-2016,921.3
30-11-2016,909.9
01-12-2016,911.3
02-12-2016,932.7
05-12-2016,938.6
06-12-2016,935.7
07-12-2016,943.2
08-12-2016,943.8
09-12-2016,915
12-12-2016,933.7
13-12-2016,936.7
14-12-2016,940.8
15-12-2016,893.6
16-12-2016,934.1
19-12-2016,917.3
20-12-2016,924
21-12-2016,914.4
22-12-2016,907.4
23-12-2016,893.2
27-12-2016,904.46
28-12-2016,900.64
29-12-2016,900.56
30-12-2016,904.88
03-01-2017,944.2
04-01-2017,947.2
05-01-2017,976
06-01-2017,970.6
09-01-2017,982.6
10-01-2017,982.8
11-01-2017,976.4
12-01-2017,984.7
13-01-2017,986.4
17-01-2017,983.1
18-01-2017,971.9
19-01-2017,956.4
20-01-2017,976
23-01-2017,979.9
24-01-2017,1007.8
25-01-2017,981.7
26-01-2017,981.7
27-01-2017,983.3
30-01-2017,993.5
31-01-2017,996.5
01-02-2017,999.8
02-02-2017,999.6
03-02-2017,1006.7
06-02-2017,1014.1
07-02-2017,1012.9
08-02-2017,1019.4
09-02-2017,1022.2
10-02-2017,1011.7
13-02-2017,1000.3
14-02-2017,1002.2
15-02-2017,1009.9
16-02-2017,1015.7
17-02-2017,1006
21-02-2017,1006
22-02-2017,1002.7
23-02-2017,1011.9
24-02-2017,1028.7
27-02-2017,1038.9
28-02-2017,1031
01-03-2017,1018.9
02-03-2017,989.9
03-03-2017,994.1
06-03-2017,978.2
07-03-2017,961.1
08-03-2017,949.5
09-03-2017,937.2
10-03-2017,938.2
13-03-2017,941.2
14-03-2017,938.9
15-03-2017,936.8
16-03-2017,958.4
17-03-2017,963
20-03-2017,972.4
21-03-2017,971.4
22-03-2017,961.9
23-03-2017,963.8
24-03-2017,967.9
27-03-2017,969
28-03-2017,958.06
29-03-2017,954.02
30-03-2017,954.06
31-03-2017,951.56
03-04-2017,958.2
04-04-2017,964.5
05-04-2017,959.6
06-04-2017,958.9
07-04-2017,962.6
10-04-2017,940
11-04-2017,969.5
12-04-2017,967.9
13-04-2017,977.4
17-04-2017,991.1
18-04-2017,978.6
19-04-2017,970.3
20-04-2017,981.2
21-04-2017,977.6
24-04-2017,960.2
25-04-2017,957.6
26-04-2017,948.5
27-04-2017,948.8
28-04-2017,948.7
01-05-2017,932.2
02-05-2017,926
03-05-2017,904.4
04-05-2017,907.7
05-05-2017,910.2
08-05-2017,919.6
09-05-2017,900.9
10-05-2017,909.9
11-05-2017,917.7
12-05-2017,917.5
15-05-2017,928.7
16-05-2017,937
17-05-2017,946.1
18-05-2017,936.8
19-05-2017,940.2
22-05-2017,950.3
23-05-2017,949.4
24-05-2017,947.3
25-05-2017,952.9
26-05-2017,962.9
30-05-2017,941.1
31-05-2017,950.3
01-06-2017,929
02-06-2017,953.4
05-06-2017,957.6
06-06-2017,963.3
07-06-2017,947.6
08-06-2017,938.1
09-06-2017,940.3
12-06-2017,944.5
13-06-2017,924.2
14-06-2017,951.9
15-06-2017,921.3
16-06-2017,926.8
19-06-2017,926.9
20-06-2017,921.5
21-06-2017,927
22-06-2017,925.6
23-06-2017,929.4
26-06-2017,916.6
27-06-2017,919.14
28-06-2017,922.7
29-06-2017,921.46
30-06-2017,925.86
03-07-2017,906.1
05-07-2017,908.8
06-07-2017,910.3
07-07-2017,904.1
10-07-2017,901.9
11-07-2017,898.7
12-07-2017,919
13-07-2017,907.1
14-07-2017,923.5
17-07-2017,930.3
18-07-2017,930.3
19-07-2017,924.2
20-07-2017,933.2
21-07-2017,937.4
24-07-2017,932.3
25-07-2017,931.8
26-07-2017,922.7
27-07-2017,926.4
28-07-2017,936.6
31-07-2017,940.7
01-08-2017,949.5
02-08-2017,953.8
03-08-2017,964.6
04-08-2017,969
07-08-2017,971.6
08-08-2017,974.5
09-08-2017,976.1
10-08-2017,985.9
11-08-2017,989.7
14-08-2017,974.9
15-08-2017,967.4
16-08-2017,974.5
17-08-2017,981.7
18-08-2017,982.4
21-08-2017,985.5
22-08-2017,981.3
23-08-2017,980.9
24-08-2017,982.6
25-08-2017,979.1
28-08-2017,989.3
29-08-2017,1003.5
30-08-2017,995.2
31-08-2017,998.5
01-09-2017,1009
05-09-2017,1009
06-09-2017,1007.1
07-09-2017,1016.8
08-09-2017,1012.3
11-09-2017,998.8
12-09-2017,986.5
13-09-2017,983.2
14-09-2017,980.9
15-09-2017,971.8
18-09-2017,961.1
19-09-2017,951.2
20-09-2017,945.4
21-09-2017,939.9
22-09-2017,932.1
25-09-2017,940.2
26-09-2017,925.5
27-09-2017,923.1
28-09-2017,923.82
29-09-2017,914.46
02-10-2017,916.6
03-10-2017,915.5
04-10-2017,914.8
05-10-2017,918
06-10-2017,916.7
09-10-2017,918.2
10-10-2017,936.5
11-10-2017,933.2
12-10-2017,941.8
13-10-2017,947.9
16-10-2017,942.1
17-10-2017,934.8
18-10-2017,924.6
19-10-2017,925.9
20-10-2017,926.8
